iter	Logloss
0	0.6774196527
1	0.6583226913
2	0.6401080792
3	0.6242848323
4	0.6097269303
5	0.5944581252
6	0.5800641965
7	0.5666495299
8	0.5520508595
9	0.5375928439
10	0.5264209454
11	0.5120043241
12	0.4971679688
13	0.4861370771
14	0.4745092147
15	0.4630300669
16	0.4525820219
17	0.4435916216
18	0.435268539
19	0.4250598223
20	0.4178817358
21	0.4087249756
22	0.4017287034
23	0.3920686379
24	0.383023932
25	0.3748669355
26	0.3677293044
27	0.3608306102
28	0.3534463344
29	0.3476501074
30	0.3414929512
31	0.3363350893
32	0.3310998379
33	0.3261443505
34	0.3197008182
35	0.3155043773
36	0.3097832704
37	0.3054610619
38	0.2997650733
39	0.2955870408
40	0.2901954455
41	0.2852771466
42	0.281627792
43	0.2772638565
44	0.2725009429
45	0.2692999033
46	0.2663464082
47	0.2627023941
48	0.2598079584
49	0.2560152103
50	0.252895766
51	0.2494913541
52	0.2458254692
53	0.2431647668
54	0.2402995965
55	0.237741441
56	0.2351970575
57	0.2323329045
58	0.2300125905
59	0.2273487971
60	0.2245090778
61	0.2218370487
62	0.2197692675
63	0.2170597565
64	0.2146821438
65	0.2118336604
66	0.2094280145
67	0.2078945453
68	0.2056655688
69	0.2038809752
70	0.2021753556
71	0.2001596304
72	0.1978913527
73	0.1963695428
74	0.1947421147
75	0.1925695762
76	0.1910356571
77	0.1893845778
78	0.1876213074
79	0.1863045717
80	0.1845674172
81	0.1833238651
82	0.181930229
83	0.1803325164
84	0.179067015
85	0.1776584723
86	0.1762831272
87	0.1749750773
88	0.173655642
89	0.1723794986
90	0.1712815114
91	0.1697197156
92	0.1681325864
93	0.1669874925
94	0.1658685146
95	0.1648497948
96	0.1636213058
97	0.1626177666
98	0.1616486085
99	0.1603968302
100	0.1594149565
101	0.1584174816
102	0.1573765094
103	0.1566192627
104	0.1558134519
105	0.1550828298
106	0.1540870667
107	0.1531794621
108	0.1521615835
109	0.1512645819
110	0.1504384946
111	0.1495018005
112	0.1486105992
113	0.1479039901
114	0.1473039872
115	0.1466983404
116	0.1460892115
117	0.1453421568
118	0.1444511414
119	0.1437380082
120	0.1428983248
121	0.1422764509
122	0.141489117
123	0.1407113687
124	0.1401136643
125	0.1394455347
126	0.1389151255
127	0.1383675698
128	0.137639031
129	0.1370116014
130	0.1363486852
131	0.1355778719
132	0.1351108942
133	0.1345681606
134	0.1339560778
135	0.133389693
136	0.1327830192
137	0.1322347396
138	0.1315628639
139	0.1310345576
140	0.1305487706
141	0.1300384521
142	0.1295220889
143	0.1289866423
144	0.1284757565
145	0.1278076954
146	0.1273280315
147	0.1269695869
148	0.1264613029
149	0.1258410625
150	0.1253252078
151	0.1248547481
152	0.1243059403
153	0.1238957136
154	0.1235376407
155	0.1230942555
156	0.1226119604
157	0.1222617712
158	0.1218763205
159	0.1214526054
160	0.1208775643
161	0.1203027676
162	0.1197913537
163	0.1194571275
164	0.1191450266
165	0.1186774425
166	0.118254911
167	0.1176606398
168	0.1172397907
169	0.1167594812
170	0.1163487557
171	0.1159912109
172	0.1154724317
173	0.1151892246
174	0.1147494976
175	0.1144505819
176	0.1140369709
177	0.1135850271
178	0.1133384607
179	0.1130304679
180	0.1126636114
181	0.1122400528
182	0.1118409377
183	0.1116171617
184	0.1113277631
185	0.1110558926
186	0.110652102
187	0.1103579105
188	0.1100190676
189	0.109809719
190	0.1093787854
191	0.1089019286
192	0.1086707678
193	0.1084131974
194	0.107988739
195	0.1076678154
196	0.1073441823
197	0.1070495899
198	0.1069536454
199	0.1067081158
200	0.1063074748
201	0.1059774937
202	0.105720432
203	0.1053834377
204	0.1052469889
205	0.1050785163
206	0.1048270788
207	0.1046060122
208	0.1042305971
209	0.1039105733
210	0.1037673559
211	0.1036274934
212	0.1034029251
213	0.103190828
214	0.1028362568
215	0.1025287139
216	0.1022106562
217	0.1019503862
218	0.1016728426
219	0.1013914059
220	0.1011991256
221	0.1009548676
222	0.1008345579
223	0.1006966224
224	0.1003831325
225	0.10013416
226	0.09982713553
227	0.09968611888
228	0.09961002056
229	0.09937779353
230	0.09903913645
231	0.09893880991
232	0.09878276923
233	0.09865418459
234	0.09846801758
235	0.09824044643
236	0.09795659383
237	0.0978159391
238	0.09772451352
239	0.09746509454
240	0.09726136036
241	0.09711749737
242	0.09690145835
243	0.09672327286
244	0.09659149952
245	0.09648662469
246	0.09636752789
247	0.09611984644
248	0.09587566669
249	0.09551936419
250	0.09523959038
251	0.09505684681
252	0.09497451782
253	0.09467623784
254	0.09443475772
255	0.09419163435
256	0.09404348716
257	0.09394081311
258	0.09379849556
259	0.09366828723
260	0.09357518905
261	0.09341364151
262	0.09313505124
263	0.09307895563
264	0.0929846837
265	0.09272246728
266	0.09249907274
267	0.09220991868
268	0.0920518924
269	0.09196965144
270	0.09187566317
271	0.09180260683
272	0.09169702774
273	0.09140643584
274	0.09126702333
275	0.09109581189
276	0.09095159677
277	0.09084804241
278	0.09075939472
279	0.09069106273
280	0.09061853458
281	0.09052348993
282	0.09031354464
283	0.09017938467
284	0.0901232695
285	0.09005260957
286	0.08977766771
287	0.08951889429
288	0.08933568123
289	0.08924991901
290	0.08918863932
291	0.08913277846
292	0.08899213351
293	0.08890304565
294	0.08883216075
295	0.08854855268
296	0.08849696624
297	0.08840388763
298	0.08807281103
299	0.08779643132
300	0.08764611269
301	0.08751248091
302	0.08728119288
303	0.08721428896
304	0.08715070089
305	0.08708055936
306	0.08703220074
307	0.08682790903
308	0.08660299839
309	0.08654297071
310	0.08645190704
311	0.08627796662
312	0.0862045875
313	0.08613965939
314	0.08607838949
315	0.08601856721
316	0.08578181145
317	0.08571166992
318	0.0854938018
319	0.08534153669
320	0.08528555846
321	0.08504392184
322	0.08486069899
323	0.08480438819
324	0.08458232391
325	0.0845127986
326	0.08445578355
327	0.08437560644
328	0.08429478376
329	0.08422868191
330	0.08402706048
331	0.08396078256
332	0.08377262996
333	0.08370261559
334	0.08364321391
335	0.08358981793
336	0.08352772639
337	0.08335792346
338	0.08312450311
339	0.08298914983
340	0.08288096893
341	0.08264734317
342	0.08259249956
343	0.08253876124
344	0.08248686179
345	0.08241567367
346	0.08235793481
347	0.08221106896
348	0.08202293592
349	0.08194199587
350	0.08188270667
351	0.0818230849
352	0.08176104228
353	0.08157039055
354	0.08150588305
355	0.08144580156
356	0.08138237978
357	0.08131062434
358	0.0812602361
359	0.08105158684
360	0.08098159203
361	0.0809181409
362	0.08085382902
363	0.08079471588
364	0.08052486517
365	0.08045443999
366	0.08039372273
367	0.08013162368
368	0.08006883768
369	0.07982628651
370	0.0797756733
371	0.07956009889
372	0.07950273171
373	0.07943781828
374	0.07936539772
375	0.07927340972
376	0.07906658955
377	0.07884933276
378	0.07866848188
379	0.07861853379
380	0.07856243818
381	0.07836127159
382	0.07829526265
383	0.07822755667
384	0.07813237019
385	0.07808015774
386	0.07802198361
387	0.07796373612
388	0.07773630191
389	0.07767771207
390	0.07752561325
391	0.07740923564
392	0.07737007141
393	0.07732067597
394	0.07725879963
395	0.07720696865
396	0.07715337704
397	0.07710782565
398	0.0770548796
399	0.07699111547
400	0.07693221263
401	0.07686245258
402	0.07667033367
403	0.07663004459
404	0.07657325451
405	0.07653182592
406	0.07648251362
407	0.0764140447
408	0.07636488401
409	0.07630922366
410	0.07625938318
411	0.07619348673
412	0.07614185138
413	0.07608582912
414	0.07604586772
415	0.0759995485
416	0.07594748766
417	0.07589576917
418	0.0758429943
419	0.07575132419
420	0.0755156297
421	0.07546430734
422	0.07540421119
423	0.07534979796
424	0.07512508784
425	0.07505491208
426	0.07499874311
427	0.07494979272
428	0.07490105262
429	0.07484132327
430	0.0747888614
431	0.07459181761
432	0.07442908654
433	0.07436811496
434	0.07431443043
435	0.07425791423
436	0.074073635
437	0.07402429336
438	0.07397280962
439	0.07392433362
440	0.07387834696
441	0.07383537292
442	0.0737809548
443	0.07372772021
444	0.07365742219
445	0.07361684457
446	0.07337654309
447	0.07317816905
448	0.07303926517
449	0.07286996108
450	0.07271946149
451	0.07267029591
452	0.07258043534
453	0.07253387647
454	0.07236006321
455	0.07231455583
456	0.07218796168
457	0.0721181625
458	0.07206792098
459	0.07189792731
460	0.07174137311
461	0.07169546959
462	0.07163554461
463	0.07141299125
464	0.07135933118
465	0.07131297772
466	0.07124137389
467	0.07118885823
468	0.07100234398
469	0.07094421876
470	0.07088969304
471	0.07084483611
472	0.07078096439
473	0.07074080247
474	0.07069830772
475	0.07065037458
476	0.07058380812
477	0.07053612929
478	0.07047299116
479	0.07043074583
480	0.0703838544
481	0.07034268012
482	0.07028678014
483	0.070239786
484	0.07017759176
485	0.06995743972
486	0.06991560031
487	0.06979735448
488	0.06974725968
489	0.06954531547
490	0.06950106499
491	0.06944488134
492	0.06925118764
493	0.06920850216
494	0.06916647691
495	0.06912267636
496	0.06907152029
497	0.06902901576
498	0.06897256313
499	0.06875518408
500	0.06871398535
501	0.06846596644
502	0.06824130523
503	0.06820292351
504	0.06816231165
505	0.06810016632
506	0.06794475653
507	0.06789846665
508	0.06763294905
509	0.067369911
510	0.06732721573
511	0.06728405097
512	0.06724180075
513	0.06720320873
514	0.06713017195
515	0.06700850267
516	0.06679445903
517	0.06669391241
518	0.06643708547
519	0.06639796037
520	0.06635642418
521	0.06631832123
522	0.06625981453
523	0.06616275983
524	0.06609134185
525	0.06605356657
526	0.06601415781
527	0.06593373127
528	0.06577627231
529	0.06573580228
530	0.06556760348
531	0.06537994972
532	0.06534169026
533	0.06517872933
534	0.06512113718
535	0.06508032481
536	0.06504150782
537	0.06500122364
538	0.06496251424
539	0.06478959597
540	0.06475169842
541	0.06471396226
542	0.06465875675
543	0.06462278122
544	0.06455762325
545	0.0643674068
546	0.06433025262
547	0.06429384672
548	0.06425359677
549	0.06402192727
550	0.06395802131
551	0.06372641539
552	0.06368986276
553	0.06365383833
554	0.06361726614
555	0.06355675917
556	0.06352193783
557	0.06332195967
558	0.06327575292
559	0.06311712999
560	0.06308171199
561	0.06304229834
562	0.06300592667
563	0.06297059181
564	0.06292198377
565	0.06288639949
566	0.06282488016
567	0.06279107118
568	0.06259913322
569	0.06256463467
570	0.06241514744
571	0.0623809521
572	0.06218698942
573	0.06212304922
574	0.06196818229
575	0.06183785659
576	0.06178436768
577	0.06175034841
578	0.06156529158
579	0.06153093485
580	0.06134114877
581	0.06130657685
582	0.06127194136
583	0.06122070215
584	0.06118742136
585	0.06098282643
586	0.06077433855
587	0.06071514227
588	0.06068125016
589	0.06064815032
590	0.06057021312
591	0.06053748987
592	0.06037149674
593	0.06025278629
594	0.06022121723
595	0.06018859668
596	0.06009984139
597	0.06004906679
598	0.06001683749
599	0.05978433169
600	0.05967805324
601	0.05964536422
602	0.05959431575
603	0.05956200331
604	0.05953023373
605	0.0594984886
606	0.05944455465
607	0.05941309807
608	0.0593822088
609	0.05926469656
610	0.05908965575
611	0.05905982776
612	0.05888881194
613	0.05885746296
614	0.05880534832
615	0.05875707284
616	0.05872708834
617	0.05869636047
618	0.05866564237
619	0.0585113721
620	0.05844235542
621	0.05825656989
622	0.05822616968
623	0.0581968063
624	0.05800324464
625	0.05797363183
626	0.0578324538
627	0.05780274807
628	0.05775713798
629	0.05766723339
630	0.05763884324
631	0.05760952387
632	0.0575003355
633	0.05745223608
634	0.05728384165
635	0.05711209224
636	0.05708237672
637	0.05705325787
638	0.0570065425
639	0.05685505011
640	0.05665318905
641	0.0566240115
642	0.0565947606
643	0.05641501011
644	0.05636826051
645	0.05633996817
646	0.05624277164
647	0.0561969806
648	0.05616850242
649	0.05595446856
650	0.05592605395
651	0.05577617058
652	0.05574872433
653	0.05572058849
654	0.05556613726
655	0.05550743494
656	0.0553642224
657	0.05533630175
658	0.05530831264
659	0.05528081258
660	0.05514834477
661	0.05505179381
662	0.05500701513
663	0.05490721189
664	0.05487939884
665	0.05485220689
666	0.05480779012
667	0.05478073022
668	0.05459906749
669	0.05448878362
670	0.05446173839
671	0.05441185878
672	0.0543847891
673	0.05435812534
674	0.05417902042
675	0.05415238111
676	0.05409977253
677	0.05404137342
678	0.05401496887
679	0.05398899959
680	0.05383164332
681	0.05378378355
682	0.05375783382
683	0.05365199554
684	0.05362608983
685	0.05360033084
686	0.05340725825
687	0.05338177803
688	0.05335608262
689	0.05317523663
690	0.05313130892
691	0.05297629038
692	0.05281642034
693	0.05272359603
694	0.05266256088
695	0.05263671875
696	0.05261152219
697	0.05243323889
698	0.05239288134
699	0.0523679342
700	0.05234266917
701	0.05231776115
702	0.05224231818
703	0.05220235189
704	0.05217745854
705	0.0520706568
706	0.05199995285
707	0.05183794071
708	0.05168714279
709	0.05166209294
710	0.05153055436
711	0.05150597401
712	0.05146506383
713	0.05144047859
714	0.05139170916
715	0.05136746138
716	0.051212883
717	0.05118949597
718	0.05104886569
719	0.05090649923
720	0.05086783874
721	0.05084346869
722	0.05081980779
723	0.05079673376
724	0.0507591541
725	0.05069060692
726	0.05064199399
727	0.05061814724
728	0.05054797637
729	0.0504286546
730	0.05040507194
731	0.0503526492
732	0.05032923772
733	0.05029278291
734	0.05015872075
735	0.05013525547
736	0.05000993778
737	0.04998684419
738	0.04996381906
739	0.04980756319
740	0.04975211315
741	0.04971403464
742	0.04969110244
743	0.04966804798
744	0.04964548747
745	0.04962271666
746	0.04960023929
747	0.04949258658
748	0.0494567382
749	0.04929020221
750	0.04926784711
751	0.04912412595
752	0.04910164858
753	0.04907960158
754	0.04905766707
755	0.04902147146
756	0.04892537533
757	0.04890335768
758	0.04888158945
759	0.04872849293
760	0.04864967053
761	0.0486277996
762	0.04851610233
763	0.0484943879
764	0.0484551014
765	0.04828791496
766	0.048266269
767	0.04824536641
768	0.04821057442
769	0.04818933927
770	0.04814615494
771	0.04812494914
772	0.04810383626
773	0.04791661776
774	0.04789583744
775	0.04786186218
776	0.04779370137
777	0.04777277433
778	0.04772495368
779	0.04759668204
780	0.04751045031
781	0.04741944044
782	0.04739854275
783	0.04723757719
784	0.04721675775
785	0.04718315418
786	0.04707525204
787	0.04705492655
788	0.04703438588
789	0.04690789443
790	0.04688752981
791	0.04676710765
792	0.0467125428
793	0.04667939406
794	0.04665900988
795	0.04657606956
796	0.04648529444
797	0.04646490537
798	0.0463515355
799	0.04633152301
800	0.04629972409
801	0.04627973116
802	0.04618308728
803	0.04616313347
804	0.04612058982
805	0.04610076806
806	0.04595740881
807	0.04588463612
808	0.0457889997
809	0.04576922686
810	0.04563490061
811	0.04561558748
812	0.04557520059
813	0.04550828689
814	0.04545243092
815	0.04543321072
816	0.04541458717
817	0.0452956273
818	0.04519417592
819	0.04517452533
820	0.045055184
821	0.04501906175
822	0.04499763098
823	0.04486212119
824	0.04484303792
825	0.04482354384
826	0.04471911895
827	0.04459945483
828	0.04458060142
829	0.04455006917
830	0.04453149942
831	0.04446301093
832	0.04444412818
833	0.04434096018
834	0.0443018253
835	0.04428317241
836	0.04414254702
837	0.04407456716
838	0.04405592894
839	0.04401485247
840	0.04399619958
841	0.04388436538
842	0.04386582986
843	0.04374308464
844	0.04372458336
845	0.04369460864
846	0.0436761905
847	0.04365848639
848	0.04364047906
849	0.04352865464
850	0.04338848407
851	0.04327547122
852	0.04324536446
853	0.04318045103
854	0.0431624437
855	0.04314443148
856	0.04307670593
857	0.04305868882
858	0.0430413613
859	0.04300879454
860	0.04289238759
861	0.04287516276
862	0.04274950761
863	0.04273173014
864	0.04270194127
865	0.04268439855
866	0.04266687051
867	0.04255765768
868	0.04254022256
869	0.04252288036
870	0.0424614833
871	0.04244426825
872	0.04241055709
873	0.04239339095
874	0.04232458457
875	0.04230746734
876	0.04228001619
877	0.04226285005
878	0.04215414585
879	0.04203169407
880	0.04201457195
881	0.04192343492
882	0.04190658178
883	0.0418902764
884	0.0418624829
885	0.04184568356
886	0.04180989388
887	0.04179322658
888	0.04171748039
889	0.04170066638
890	0.04157323593
891	0.04147062546
892	0.04141999269
893	0.04140334985
894	0.04138674125
895	0.04127852122
896	0.04125124613
897	0.04123479403
898	0.0412188799
899	0.04120260874
900	0.04114455688
901	0.0411282466
902	0.04109589503
903	0.04097087567
904	0.04095470966
905	0.04093846541
906	0.04092241678
907	0.04089618341
908	0.04082361857
909	0.04080748925
910	0.04073025386
911	0.04071458425
912	0.04069877527
913	0.04068336976
914	0.040657332
915	0.04059736545
916	0.04053132962
917	0.04051560867
918	0.04037415431
919	0.04035856296
920	0.04034285912
921	0.04032764435
922	0.04031219971
923	0.04022154197
924	0.04019620113
925	0.04009871361
926	0.0400641368
927	0.0399422181
928	0.03991005726
929	0.0398948107
930	0.03987955191
931	0.03986428334
932	0.03984901722
933	0.03983385135
934	0.03981891779
935	0.03975678957
936	0.03969269043
937	0.03967764683
938	0.03961980771
939	0.03954651417
940	0.03952044707
941	0.03943364559
942	0.03941835746
943	0.03940330897
944	0.03938872753
945	0.03931528972
946	0.03930054689
947	0.03927531609
948	0.03926038987
949	0.03922567368
950	0.03911890128
951	0.03910443722
952	0.03898021502
953	0.03885019253
954	0.03883538368
955	0.03878400265
956	0.03875932938
957	0.03867014127
958	0.0386556821
959	0.03864138188
960	0.03853951234
961	0.03852491623
962	0.03851068937
963	0.0384620691
964	0.03843732736
965	0.03842290732
966	0.03840856797
967	0.03828987219
968	0.0382754766
969	0.038261663
970	0.03816556197
971	0.03811378479
972	0.03809016301
973	0.03807599483
974	0.03796449319
975	0.03795044239
976	0.03786652638
977	0.03785236065
978	0.03783853727
979	0.0377281678
980	0.03770414988
981	0.03769036317
982	0.03767639062
983	0.03764906908
984	0.03763533861
985	0.0375612748
986	0.03754740984
987	0.03749788724
988	0.03748393426
989	0.03741055269
990	0.03732105402
991	0.03730715727
992	0.03724520268
993	0.03722310188
994	0.0371079665
995	0.03709417979
996	0.0370809335
997	0.03706814204
998	0.03705491042
999	0.03704156387
