iter	Passed	Remaining
0	14	14780
1	28	14028
2	41	13889
3	54	13683
4	68	13618
5	81	13533
6	96	13646
7	109	13629
8	123	13612
9	137	13636
10	151	13586
11	164	13537
12	178	13586
13	195	13793
14	209	13759
15	223	13729
16	237	13727
17	250	13666
18	263	13607
19	277	13597
20	291	13576
21	304	13543
22	317	13477
23	330	13445
24	344	13425
25	357	13395
26	370	13365
27	384	13342
28	397	13318
29	413	13365
30	426	13343
31	440	13320
32	454	13320
33	468	13297
34	481	13268
35	494	13228
36	507	13195
37	520	13174
38	536	13226
39	551	13232
40	565	13237
41	581	13260
42	596	13282
43	613	13333
44	627	13325
45	641	13309
46	655	13290
47	669	13278
48	683	13273
49	697	13245
50	710	13211
51	723	13196
52	737	13174
53	750	13149
54	763	13120
55	776	13092
56	790	13070
57	803	13051
58	817	13034
59	830	13015
60	844	12998
61	857	12974
62	870	12953
63	884	12933
64	898	12921
65	912	12908
66	925	12887
67	938	12867
68	951	12844
69	966	12844
70	980	12827
71	994	12815
72	1008	12807
73	1025	12828
74	1038	12813
75	1052	12800
76	1066	12787
77	1081	12779
78	1096	12786
79	1112	12794
80	1127	12795
81	1141	12774
82	1156	12775
83	1170	12763
84	1184	12745
85	1197	12730
86	1211	12716
87	1225	12696
88	1238	12673
89	1251	12649
90	1264	12632
91	1277	12608
92	1291	12594
93	1305	12584
94	1318	12561
95	1332	12547
96	1345	12526
97	1358	12502
98	1372	12486
99	1385	12470
100	1399	12458
101	1412	12437
102	1425	12418
103	1438	12394
104	1451	12373
105	1464	12355
106	1477	12334
107	1492	12327
108	1506	12313
109	1520	12305
110	1534	12286
111	1546	12261
112	1559	12241
113	1572	12224
114	1586	12206
115	1599	12192
116	1613	12177
117	1627	12165
118	1640	12148
119	1654	12130
120	1667	12115
121	1681	12098
122	1694	12080
123	1707	12061
124	1720	12044
125	1733	12025
126	1746	12006
127	1759	11988
128	1773	11971
129	1787	11964
130	1801	11948
131	1814	11931
132	1827	11913
133	1840	11894
134	1853	11873
135	1865	11852
136	1892	11923
137	1905	11899
138	1918	11882
139	1931	11862
140	1944	11845
141	1958	11835
142	1971	11817
143	1985	11800
144	1998	11785
145	2012	11774
146	2026	11758
147	2041	11753
148	2063	11782
149	2076	11766
150	2093	11769
151	2108	11763
152	2122	11751
153	2137	11743
154	2152	11733
155	2169	11735
156	2182	11721
157	2197	11708
158	2210	11690
159	2223	11675
160	2238	11663
161	2252	11650
162	2265	11633
163	2279	11617
164	2292	11599
165	2306	11587
166	2319	11570
167	2332	11552
168	2345	11533
169	2358	11517
170	2372	11501
171	2385	11485
172	2399	11468
173	2413	11455
174	2426	11439
175	2440	11423
176	2453	11409
177	2467	11393
178	2479	11374
179	2492	11355
180	2506	11339
181	2519	11322
182	2532	11305
183	2545	11287
184	2558	11271
185	2572	11256
186	2586	11243
187	2599	11228
188	2613	11213
189	2626	11198
190	2640	11183
191	2654	11171
192	2668	11158
193	2682	11146
194	2696	11130
195	2710	11118
196	2724	11103
197	2737	11087
198	2750	11072
199	2763	11054
200	2776	11038
201	2791	11027
202	2805	11013
203	2818	10996
204	2830	10978
205	2844	10963
206	2857	10947
207	2870	10930
208	2883	10913
209	2896	10896
210	2909	10878
211	2922	10863
212	2935	10847
213	2948	10831
214	2962	10816
215	2975	10799
216	2989	10788
217	3003	10773
218	3032	10813
219	3045	10796
220	3058	10779
221	3071	10763
222	3084	10747
223	3098	10734
224	3112	10719
225	3125	10702
226	3138	10686
227	3151	10672
228	3165	10657
229	3181	10651
230	3194	10635
231	3207	10618
232	3221	10605
233	3234	10589
234	3248	10574
235	3262	10560
236	3276	10548
237	3289	10531
238	3302	10516
239	3316	10500
240	3329	10487
241	3342	10470
242	3356	10455
243	3369	10440
244	3383	10427
245	3397	10414
246	3411	10399
247	3424	10383
248	3437	10367
249	3450	10351
250	3464	10337
251	3477	10322
252	3491	10307
253	3503	10290
254	3516	10274
255	3530	10261
256	3543	10245
257	3556	10229
258	3569	10213
259	3584	10202
260	3598	10188
261	3611	10171
262	3625	10158
263	3641	10153
264	3657	10143
265	3672	10132
266	3687	10123
267	3703	10115
268	3717	10102
269	3731	10090
270	3745	10074
271	3759	10060
272	3773	10047
273	3786	10033
274	3799	10016
275	3812	10001
276	3825	9985
277	3839	9971
278	3852	9956
279	3866	9943
280	3881	9930
281	3894	9916
282	3907	9900
283	3920	9883
284	3933	9867
285	3946	9853
286	3960	9839
287	3975	9828
288	3989	9814
289	4002	9800
290	4017	9788
291	4030	9773
292	4043	9757
293	4057	9742
294	4073	9733
295	4086	9719
296	4100	9706
297	4114	9692
298	4128	9678
299	4142	9665
300	4156	9652
301	4170	9637
302	4184	9625
303	4197	9610
304	4211	9596
305	4224	9581
306	4238	9566
307	4251	9552
308	4265	9538
309	4279	9526
310	4293	9512
311	4307	9498
312	4320	9483
313	4334	9469
314	4347	9454
315	4363	9444
316	4379	9434
317	4393	9421
318	4407	9409
319	4421	9395
320	4435	9382
321	4449	9368
322	4463	9355
323	4480	9347
324	4496	9338
325	4511	9327
326	4526	9316
327	4541	9304
328	4555	9291
329	4572	9283
330	4586	9269
331	4600	9256
332	4614	9241
333	4628	9230
334	4644	9219
335	4658	9206
336	4672	9192
337	4686	9179
338	4703	9171
339	4718	9158
340	4736	9152
341	4750	9139
342	4764	9126
343	4779	9115
344	4795	9104
345	4810	9091
346	4825	9080
347	4839	9067
348	4854	9054
349	4867	9039
350	4882	9027
351	4896	9013
352	4909	8997
353	4922	8982
354	4936	8969
355	4952	8959
356	4977	8964
357	4992	8952
358	5009	8943
359	5032	8946
360	5061	8960
361	5085	8962
362	5105	8959
363	5124	8954
364	5141	8945
365	5161	8940
366	5185	8943
367	5207	8943
368	5224	8934
369	5240	8923
370	5258	8914
371	5284	8920
372	5298	8907
373	5313	8892
374	5328	8880
375	5342	8866
376	5357	8853
377	5376	8847
378	5390	8831
379	5403	8816
380	5419	8804
381	5432	8788
382	5446	8774
383	5460	8759
384	5473	8743
385	5486	8727
386	5500	8712
387	5517	8703
388	5534	8692
389	5548	8678
390	5564	8666
391	5579	8654
392	5595	8641
393	5610	8629
394	5625	8616
395	5640	8603
396	5654	8589
397	5669	8575
398	5685	8563
399	5698	8547
400	5711	8532
401	5726	8517
402	5739	8502
403	5755	8491
404	5770	8477
405	5783	8461
406	5797	8446
407	5809	8430
408	5822	8414
409	5836	8398
410	5849	8382
411	5862	8367
412	5876	8352
413	5891	8338
414	5904	8322
415	5918	8309
416	5933	8295
417	5946	8279
418	5961	8265
419	5975	8251
420	5988	8235
421	6001	8219
422	6014	8204
423	6027	8188
424	6041	8173
425	6054	8157
426	6067	8142
427	6080	8126
428	6094	8111
429	6107	8095
430	6120	8080
431	6134	8066
432	6148	8051
433	6163	8037
434	6178	8025
435	6192	8010
436	6205	7994
437	6218	7978
438	6232	7963
439	6246	7949
440	6259	7934
441	6272	7918
442	6285	7902
443	6299	7888
444	6313	7873
445	6327	7859
446	6343	7847
447	6357	7833
448	6371	7819
449	6385	7804
450	6398	7788
451	6411	7773
452	6424	7757
453	6437	7742
454	6451	7727
455	6465	7713
456	6479	7699
457	6494	7685
458	6508	7671
459	6521	7656
460	6535	7641
461	6550	7627
462	6564	7614
463	6579	7600
464	6593	7585
465	6609	7573
466	6623	7559
467	6637	7544
468	6650	7529
469	6663	7513
470	6676	7498
471	6689	7482
472	6703	7468
473	6717	7454
474	6732	7441
475	6749	7430
476	6764	7417
477	6779	7403
478	6804	7400
479	6822	7391
480	6838	7379
481	6853	7365
482	6867	7350
483	6880	7335
484	6894	7320
485	6908	7306
486	6923	7292
487	6936	7278
488	6950	7263
489	6964	7249
490	6978	7234
491	6991	7218
492	7003	7202
493	7016	7187
494	7030	7172
495	7044	7158
496	7058	7143
497	7071	7128
498	7085	7113
499	7098	7098
500	7111	7082
501	7125	7068
502	7139	7054
503	7154	7040
504	7167	7025
505	7181	7010
506	7195	6996
507	7210	6983
508	7224	6968
509	7238	6954
510	7254	6942
511	7268	6927
512	7282	6913
513	7295	6898
514	7308	6883
515	7322	6868
516	7337	6854
517	7351	6840
518	7364	6825
519	7378	6811
520	7392	6796
521	7405	6781
522	7419	6766
523	7432	6751
524	7445	6736
525	7458	6721
526	7471	6705
527	7484	6690
528	7498	6676
529	7511	6661
530	7524	6646
531	7539	6632
532	7555	6619
533	7569	6605
534	7582	6590
535	7595	6575
536	7609	6560
537	7624	6547
538	7638	6532
539	7651	6517
540	7665	6503
541	7679	6489
542	7693	6474
543	7708	6461
544	7722	6446
545	7737	6434
546	7750	6418
547	7763	6403
548	7778	6389
549	7792	6375
550	7805	6360
551	7817	6344
552	7830	6329
553	7843	6314
554	7855	6298
555	7868	6283
556	7881	6268
557	7894	6253
558	7907	6238
559	7920	6223
560	7933	6208
561	7948	6194
562	7962	6180
563	7975	6165
564	7989	6150
565	8003	6136
566	8016	6121
567	8028	6106
568	8043	6092
569	8056	6077
570	8069	6062
571	8082	6047
572	8095	6033
573	8108	6018
574	8122	6003
575	8135	5988
576	8149	5974
577	8163	5959
578	8176	5945
579	8190	5931
580	8204	5916
581	8217	5901
582	8230	5886
583	8243	5871
584	8256	5857
585	8270	5842
586	8283	5828
587	8301	5816
588	8315	5802
589	8332	5790
590	8347	5777
591	8363	5764
592	8377	5749
593	8390	5734
594	8403	5719
595	8416	5704
596	8428	5689
597	8443	5676
598	8456	5661
599	8469	5646
600	8482	5631
601	8495	5616
602	8509	5602
603	8523	5588
604	8536	5573
605	8550	5559
606	8563	5544
607	8576	5529
608	8590	5515
609	8603	5500
610	8616	5485
611	8629	5471
612	8644	5457
613	8658	5443
614	8671	5428
615	8684	5413
616	8697	5398
617	8710	5384
618	8724	5369
619	8738	5355
620	8752	5341
621	8765	5327
622	8778	5312
623	8793	5298
624	8806	5284
625	8820	5269
626	8833	5254
627	8846	5240
628	8859	5225
629	8872	5210
630	8885	5195
631	8898	5181
